source_row,invoice_no,invoice_date,vendor_name,vendor_gstin,category,state,description,quantity,unit_rate,taxable_amount,gst_rate,gst_amount,currency,payment_status,payment_date,vendor_name_original,vendor_name_normalized,vendor_key,is_credit_note,is_duplicate_invoice,is_superseded_duplicate,in_scope_fy_2024_25,line_total,line_total_inr,missing_taxable_amount,missing_gst_amount,missing_gstin,future_invoice_date,payment_before_invoice,expected_gst,gst_difference,gst_reconciliation_exception,vendor_name_variant_count,vendor_name_variation
72,INV-2024-0101,2025-01-07,Apex Safety Equip.,07AAKCA4567U1Z7,Safety,Delhi,Welding consumables,16.0,28829.28,490097.78,5.0,24504.89,INR,Paid,2025-02-11,Apex Safety Equip.,APEX SAFETY EQUIP,07AAKCA4567U1Z7,False,False,False,True,514602.67000000004,514602.67000000004,False,False,False,False,False,24504.889000000003,0.000999999996565748,False,3,True
73,INV-2024-0056,2025-03-05,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,Angle sections supply,3.0,16774.67,385817.3,28.0,108029.0,INR,Paid,2025-05-05,Precision Tools India,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,493846.3,493846.3,False,False,False,False,False,108028.844,0.15600000000267755,False,3,True
74,INV-2024-0037,2024-09-14,Apex Safety Equip.,07AAKCA4567U1Z7,Safety,Delhi,Shot blasting service,15.0,6703.36,167583.91,18.0,30165.1,INR,Unpaid,,Apex Safety Equip.,APEX SAFETY EQUIP,07AAKCA4567U1Z7,False,False,False,True,197749.01,197749.01,False,False,False,False,False,30165.103799999997,0.0037999999985913746,False,3,True
75,INV-2024-0060,2024-12-12,Sundaram Engg,,Fabrication,Tamil Nadu,Site safety harness x20,39.0,825.04,9900.0,18.0,1782.08,INR,Paid,2025-01-21,Sundaram Engg,SUNDARAM ENGG,NAME:SUNDARAM ENGG,False,False,False,True,11682.08,11682.08,False,False,True,False,False,1782.0,0.07999999999992724,False,1,False
76,INV-2024-0053,2024-12-08,Sundaram Engineering,33AADCS9012M1Z8,Fabrication,Tamil Nadu,Site safety harness x20,21.0,589.08,12960.0,18.0,2332.76,INR,Paid,2024-12-26,Sundaram Engineering,SUNDARAM ENGINEERING,33AADCS9012M1Z8,False,False,False,True,15292.76,15292.76,False,False,False,False,False,2332.8,0.03999999999996362,False,3,True
77,INV-2024-0029,2024-11-03,SEN BROTHERS WELDING,19AAJCS0123T1Z3,Fabrication,West Bengal,Structural design review,38.0,1159.2,41731.2,28.0,11685.0,INR,Paid,2024-11-15,SEN BROTHERS WELDING,SEN BROTHERS WELDING,19AAJCS0123T1Z3,False,False,False,True,53416.2,53416.2,False,False,False,False,False,11684.735999999999,0.2640000000010332,False,2,True
78,INV-2024-0054,2024-07-29,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Welding consumables,13.0,15546.38,621855.32,18.0,111933.96,INR,Paid,2024-09-11,Bharat Steel Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,733789.2799999999,733789.2799999999,False,False,False,False,False,111933.9576,0.0024000000121304765,False,5,True
79,INV-2024-0012,2025-02-18,Apex Safety Equipment,07AAKCA4567U1Z7,Safety,Delhi,Structural design review,25.0,3882.29,31058.0,5.0,1553.0,INR,Paid,2025-03-30,Apex Safety Equipment,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,False,False,False,True,32611.0,32611.0,False,False,False,False,False,1552.9,0.09999999999990905,False,3,True
80,INV-2024-0026,2024-09-22,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,MS plate 12mm supply,22.0,2275.79,91032.0,12.0,10923.8,INR,Paid,2024-10-10,PRECISION TOOLS INDIA,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,101955.8,101955.8,False,False,False,False,False,10923.84,0.040000000000873115,False,3,True
81,INV-2024-0904,2027-02-14,Gupta Hardware,10AAFCG7890P1Z4,Consumables,Bihar,Fasteners assorted,500.0,42.0,21000.0,18.0,3780.0,INR,Unpaid,,Gupta Hardware,GUPTA HARDWARE,10AAFCG7890P1Z4,False,False,False,False,24780.0,24780.0,False,False,False,True,False,3780.0,0.0,False,3,True
82,INV-2024-0907,2024-10-03,Meridian Consultants LLP,29AALCM8901V1Z0,Services,Karnataka,Load calculation review - awaiting final bill,1.0,,,18.0,,INR,Unpaid,,Meridian Consultants LLP,MERIDIAN CONSULTANTS LLP,29AALCM8901V1Z0,False,False,False,True,,,True,True,False,False,False,,,False,2,True
83,INV-2024-0035,2024-12-08,Gupta Hardware,10AAFCG7890P1Z4,Consumables,Bihar,Cutting tools replenishment,14.0,4875.44,97508.77,18.0,17551.58,INR,Unpaid,,Gupta Hardware,GUPTA HARDWARE,10AAFCG7890P1Z4,False,False,False,True,115060.35,115060.35,False,False,False,False,False,17551.5786,0.0014000000010128133,False,3,True
84,INV-2024-0082,2024-06-30,Sen Brothers Welding,19AAJCS0123T1Z3,Fabrication,West Bengal,Cutting tools replenishment,25.0,460.4,13352.0,18.0,2403.3,INR,Paid,2024-07-18,Sen Brothers Welding,SEN BROTHERS WELDING,19AAJCS0123T1Z3,False,False,False,True,15755.3,15755.3,False,False,False,False,False,2403.36,0.05999999999994543,False,2,True
85,INV-2024-0061,2024-06-25,Meridian Consultants LLP,29AALCM8901V1Z0,Services,Karnataka,Girder fabrication - lot 3,31.0,16043.69,465267.0,18.0,83748.05,INR,Paid,2024-08-04,Meridian Consultants LLP,MERIDIAN CONSULTANTS LLP,29AALCM8901V1Z0,False,False,False,True,549015.05,549015.05,False,False,False,False,False,83748.06,0.00999999999476131,False,2,True
86,INV-2024-0070,2024-10-03,NOVA PAINTS & COATINGS,24AAHCN6789R1Z6,Consumables,Gujarat,Girder fabrication - lot 3,17.0,6480.12,123122.0,28.0,34474.22,INR,Paid,2024-10-21,NOVA PAINTS & COATINGS,NOVA PAINTS COATINGS,24AAHCN6789R1Z6,False,False,False,True,157596.22,157596.22,False,False,False,False,False,34474.16,0.059999999997671694,False,3,True
87,INV-2024-0064,2024-06-02,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,MS plate 12mm supply,23.0,13180.97,434972.14,18.0,78294.98,INR,Paid,2024-06-14,Bharat Steel Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,513267.12,513267.12,False,False,False,False,False,78294.98520000001,0.005200000014156103,False,5,True
88,INV-2024-0102,2024-12-12,Eastern Logistics,19AAECE3456N1Z1,Transport,West Bengal,Freight - Durgapur to Asansol,2.0,34225.27,102676.0,28.0,28749.0,INR,Paid,2025-02-02,Eastern Logistics,EASTERN LOGISTICS,19AAECE3456N1Z1,False,False,False,True,131425.0,131425.0,False,False,False,False,False,28749.28,0.27999999999883585,False,3,True
89,INV-2024-0003,2024-11-20,Konark Fab,21AACCK5678L1Z2,Fabrication,Odisha,Angle sections supply,14.0,1139.81,35334.05,18.0,6360.0,INR,Paid,2024-12-25,Konark Fab,KONARK FAB,21AACCK5678L1Z2,False,False,False,True,41694.05,41694.05,False,False,False,False,False,6360.129,0.1289999999999054,False,4,True
90,INV-2024-0906,2024-07-22,Nova Paints and Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,PU topcoat 400L,400.0,610.0,244000.0,18.0,29280.0,INR,Paid,2024-08-30,Nova Paints and Coatings,NOVA PAINTS AND COATINGS,24AAHCN6789R1Z6,False,False,False,True,273280.0,273280.0,False,False,False,False,False,43920.0,14640.0,True,3,True
91,INV-2024-0905,2024-12-18,Eastern Logistics,19AAECE3456N1Z1,Transport,West Bengal,Trailer hire - 3 trips,3.0,27000.0,81000.0,5.0,4050.0,INR,Paid,2024-11-02,Eastern Logistics,EASTERN LOGISTICS,19AAECE3456N1Z1,False,False,False,True,85050.0,85050.0,False,False,False,False,True,4050.0,0.0,False,3,True
92,INV-2024-0044,2025-01-26,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,Safety,Delhi,Girder fabrication - lot 3,3.0,17826.65,338706.0,18.0,60967.14,INR,Paid,2025-02-07,APEX SAFETY EQUIPMENT,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,False,False,False,True,399673.14,399673.14,False,False,False,False,False,60967.08,0.059999999997671694,False,3,True
93,INV-2024-0073,2024-12-20,Konark Fab,21AACCK5678L1Z2,Fabrication,Odisha,Girder fabrication - lot 3,30.0,151868.57,607474.0,18.0,109345.37,INR,Paid,2025-01-14,Konark Fab,KONARK FAB,21AACCK5678L1Z2,False,False,False,True,716819.37,716819.37,False,False,False,False,False,109345.32,0.04999999998835847,False,4,True
94,INV-2024-0094,2024-04-30,Apex Safety Equipment,07AAKCA4567U1Z7,Safety,Delhi,Structural design review,18.0,1812.99,38073.0,28.0,10660.36,INR,Paid,2024-05-18,Apex Safety Equipment,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,False,False,False,True,48733.36,48733.36,False,False,False,False,False,10660.44,0.07999999999992724,False,3,True
95,INV-2024-0062,2024-05-04,Apex Safety Equipment,07AAKCA4567U1Z7,Safety,Delhi,Girder fabrication - lot 3,8.0,289.05,9538.81,5.0,477.0,INR,Paid,2024-07-04,Apex Safety Equipment,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,False,False,False,True,10015.81,10015.81,False,False,False,False,False,476.94049999999993,0.05950000000007094,False,3,True
96,INV-2024-0079,2024-08-08,KONARK FABRICATION,21AACCK5678L1Z2,Fabrication,Odisha,Welding consumables,17.0,6881.46,48170.0,28.0,13488.0,INR,Unpaid,,KONARK FABRICATION,KONARK FABRICATION,21AACCK5678L1Z2,False,False,False,True,61658.0,61658.0,False,False,False,False,False,13487.6,0.3999999999996362,False,4,True
97,INV-2024-0095,2024-09-17,Nova Paints & Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Structural design review,22.0,9119.94,136799.12,18.0,24623.84,INR,Paid,2024-10-22,Nova Paints & Coatings,NOVA PAINTS COATINGS,24AAHCN6789R1Z6,False,False,False,True,161422.96,161422.96,False,False,False,False,False,24623.8416,0.0015999999995983671,False,3,True
98,INV-2024-0093,2024-04-28,Precision Tools India,27AAGCP2345Q1Z9,Tooling,Maharashtra,Site safety harness x20,5.0,13076.14,104609.16,12.0,12553.0,INR,Paid,2024-06-11,Precision Tools India,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,117162.16,117162.16,False,False,False,False,False,12553.099199999999,0.09919999999874562,False,3,True
99,INV-2024-0112,2024-05-24,Konark Fabrication Pvt. Ltd.,21AACCK5678L1Z2,Fabrication,Odisha,Girder fabrication - lot 3,36.0,14773.14,457967.35,18.0,82434.0,INR,Paid,2024-07-07,Konark Fabrication Pvt. Ltd.,KONARK FABRICATION,21AACCK5678L1Z2,False,False,False,True,540401.35,540401.35,False,False,False,False,False,82434.12299999999,0.12299999999231659,False,4,True
100,INV-2024-0088,2024-05-18,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Angle sections supply,6.0,25913.0,725564.0,18.0,130602.0,INR,Paid,2024-06-18,PRECISION TOOLS INDIA,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,856166.0,856166.0,False,False,False,False,False,130601.52,0.47999999999592546,False,3,True
101,INV-2024-0018,2024-06-08,Sundaram Engineering,33AADCS9012M1Z8,Fabrication,Tamil Nadu,Site safety harness x20,36.0,9460.07,255421.95,12.0,30651.0,INR,Paid,2024-06-20,Sundaram Engineering,SUNDARAM ENGINEERING,33AADCS9012M1Z8,False,False,False,True,286072.95,286072.95,False,False,False,False,False,30650.634000000005,0.3659999999945285,False,3,True
102,INV-2024-0083,2024-07-05,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Girder fabrication - lot 3,13.0,56498.57,338991.4,12.0,40679.0,INR,Paid,2024-08-02,Bharat Steel Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,379670.4,379670.4,False,False,False,False,False,40678.968,0.0319999999992433,False,5,True
103,CN-2024-0007,2024-11-12,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Credit note - short supply MS plate,1.0,-84000.0,-84000.0,18.0,-15120.0,INR,Adjusted,,Bharat Steel Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,True,False,False,True,-99120.0,-99120.0,False,False,False,False,False,-15120.0,0.0,False,5,True
104,INV-2024-0045,2024-07-14,Gupta Hardware,10AAFCG7890P1Z4,Consumables,Bihar,Site safety harness x20,13.0,49158.74,147476.0,18.0,26546.0,INR,Paid,2024-09-13,Gupta Hardware,GUPTA HARDWARE,10AAFCG7890P1Z4,False,False,False,True,174022.0,174022.0,False,False,False,False,False,26545.68,0.31999999999970896,False,3,True
105,INV-2024-0099,2024-04-20,Konark Fabrication,21AACCK5678L1Z2,Fabrication,Odisha,Angle sections supply,32.0,29176.17,875285.0,28.0,245080.0,INR,Paid,2024-05-02,Konark Fabrication,KONARK FABRICATION,21AACCK5678L1Z2,False,False,False,True,1120365.0,1120365.0,False,False,False,False,False,245079.8,0.20000000001164153,False,4,True
106,INV-2024-0027,2024-04-27,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Angle sections supply,30.0,6429.37,160734.19,18.0,28932.15,INR,Paid,2024-06-10,PRECISION TOOLS INDIA,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,189666.34,189666.34,False,False,False,False,False,28932.1542,0.004199999999400461,False,3,True
107,INV-2024-0042,2024-04-04,Sundaram Engineering,33AADCS9012M1Z8,Fabrication,Tamil Nadu,Angle sections supply,15.0,7872.78,165328.34,5.0,8266.42,INR,Paid,2024-05-26,Sundaram Engineering,SUNDARAM ENGINEERING,33AADCS9012M1Z8,False,False,False,True,173594.76,173594.76,False,False,False,False,False,8266.417,0.0030000000006111804,False,3,True
108,INV-2024-0107,2024-09-15,Eastern Logistics,19AAECE3456N1Z1,Transport,West Bengal,Freight - Durgapur to Asansol,32.0,7844.62,15689.0,18.0,2824.0,INR,Paid,2024-10-29,Eastern Logistics,EASTERN LOGISTICS,19AAECE3456N1Z1,False,False,False,True,18513.0,18513.0,False,False,False,False,False,2824.02,0.01999999999998181,False,3,True
109,INV-2024-0116,2024-08-11,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Freight - Durgapur to Asansol,40.0,32797.02,721534.48,18.0,129876.0,INR,Paid,2024-09-24,Bharat Steel Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,851410.48,851410.48,False,False,False,False,False,129876.20640000001,0.206400000010035,False,5,True
110,INV-2024-0103,2025-02-08,Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Freight - Durgapur to Asansol,31.0,2669.23,90754.0,18.0,16335.69,INR,Paid,2025-04-01,Bharat Steel Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,107089.69,107089.69,False,False,False,False,False,16335.72,0.029999999998835847,False,5,True
111,INV-2024-0078,2024-09-05,Precision Tools (India) Pvt Ltd,27AAGCP2345Q1Z9,Tooling,Maharashtra,Welding consumables,10.0,5986.83,59868.0,5.0,2993.42,INR,Paid,2024-10-27,Precision Tools (India) Pvt Ltd,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,62861.42,62861.42,False,False,False,False,False,2993.4,0.01999999999998181,False,3,True
112,INV-2024-0048,2025-02-23,Nova Paints and Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Angle sections supply,39.0,8617.46,43087.31,18.0,7756.0,INR,Paid,2025-03-13,Nova Paints and Coatings,NOVA PAINTS AND COATINGS,24AAHCN6789R1Z6,False,False,False,True,50843.31,50843.31,False,False,False,False,False,7755.7158,0.2842000000000553,False,3,True
113,INV-2024-0011,2024-12-03, Bharat Steel Works,19AABCB1234K1Z5,Raw Material,West Bengal,Cutting tools replenishment,20.0,3105.69,12423.0,5.0,621.14,INR,Paid,2025-02-02, Bharat Steel Works,BHARAT STEEL WORKS,19AABCB1234K1Z5,False,False,False,True,13044.14,13044.14,False,False,False,False,False,621.15,0.009999999999990905,False,5,True
114,INV-2024-0109,2024-09-18,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,Tooling,Maharashtra,Angle sections supply,35.0,19443.7,116662.21,12.0,13999.0,INR,Paid,2024-11-18,PRECISION TOOLS INDIA,PRECISION TOOLS INDIA,27AAGCP2345Q1Z9,False,False,False,True,130661.21,130661.21,False,False,False,False,False,13999.4652,0.46520000000055006,False,3,True
115,INV-2024-0001,2024-07-06,EASTERN LOGISTICS,19AAECE3456N1Z1,Transport,West Bengal,Shot blasting service,27.0,105795.2,634771.0,18.0,114259.0,INR,Paid,2024-08-27,EASTERN LOGISTICS,EASTERN LOGISTICS,19AAECE3456N1Z1,False,False,False,True,749030.0,749030.0,False,False,False,False,False,114258.78,0.22000000000116415,False,3,True
116,INV-2024-0087,2024-05-10,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,Consumables,Bihar,Cutting tools replenishment,9.0,176271.37,1057628.22,28.0,296136.0,INR,Unpaid,,GUPTA HARDWARE STORES,GUPTA HARDWARE STORES,10AAFCG7890P1Z4,False,False,False,True,1353764.22,1353764.22,False,False,False,False,False,296135.9016,0.09840000001713634,False,3,True
117,INV-2024-0113,2025-01-06,Eastern Logistics Co,19AAECE3456N1Z1,Transport,West Bengal,Structural design review,19.0,299.7,9291.0,12.0,1115.0,INR,Paid,2025-02-27,Eastern Logistics Co,EASTERN LOGISTICS CO,19AAECE3456N1Z1,False,False,False,True,10406.0,10406.0,False,False,False,False,False,1114.92,0.07999999999992724,False,3,True
118,INV-2024-0047,2024-07-01,Nova Paints & Coatings,24AAHCN6789R1Z6,Consumables,Gujarat,Welding consumables,34.0,30420.19,517143.0,12.0,62057.0,INR,Paid,2024-08-31,Nova Paints & Coatings,NOVA PAINTS COATINGS,24AAHCN6789R1Z6,False,False,False,True,579200.0,579200.0,False,False,False,False,False,62057.16,0.16000000000349246,False,3,True
119,INV-2024-0030,2025-03-02,Eastern Logistics,19AAECE3456N1Z1,Transport,West Bengal,Epoxy primer 200L,7.0,7011.89,238404.0,18.0,42912.77,INR,Paid,2025-03-27,Eastern Logistics,EASTERN LOGISTICS,19AAECE3456N1Z1,False,False,False,True,281316.77,281316.77,False,False,False,False,False,42912.72,0.049999999995634425,False,3,True
120,INV-2024-0023,2024-12-28,Konark Fab,21AACCK5678L1Z2,Fabrication,Odisha,Welding consumables,16.0,581.6,11632.0,12.0,1395.83,INR,Paid,2025-02-18,Konark Fab,KONARK FAB,21AACCK5678L1Z2,False,False,False,True,13027.83,13027.83,False,False,False,False,False,1395.84,0.009999999999990905,False,4,True
121,INV-2024-0071,2024-09-16,Sundaram Engg,33AADCS9012M1Z8,Fabrication,Tamil Nadu,MS plate 12mm supply,35.0,1315.45,49987.0,5.0,2499.35,INR,Unpaid,,Sundaram Engg,SUNDARAM ENGG,33AADCS9012M1Z8,False,False,False,True,52486.35,52486.35,False,False,False,False,False,2499.35,0.0,False,3,True
122,INV-2024-0115,2024-08-22,Apex Safety Equip.,07AAKCA4567U1Z7,Safety,Delhi,Shot blasting service,30.0,38833.33,660167.0,18.0,118829.99,INR,Unpaid,,Apex Safety Equip.,APEX SAFETY EQUIP,07AAKCA4567U1Z7,False,False,False,True,778996.99,778996.99,False,False,False,False,False,118830.06,0.069999999992433,False,3,True
123,INV-2024-0043,2024-08-19,Eastern Logistics Co,19AAECE3456N1Z1,Transport,West Bengal,Shot blasting service,40.0,1199.24,44372.0,18.0,7987.0,INR,Unpaid,,Eastern Logistics Co,EASTERN LOGISTICS CO,19AAECE3456N1Z1,False,False,False,True,52359.0,52359.0,False,False,False,False,False,7986.96,0.03999999999996362,False,3,True
124,INV-2024-0106,2024-05-25,NOVA PAINTS & COATINGS,24AAHCN6789R1Z6,Consumables,Gujarat,Cutting tools replenishment,33.0,7551.05,98163.59,28.0,27485.8,INR,Paid,2024-07-08,NOVA PAINTS & COATINGS,NOVA PAINTS COATINGS,24AAHCN6789R1Z6,False,False,False,True,125649.39,125649.39,False,False,False,False,False,27485.8052,0.005199999999604188,False,3,True
125,INV-2024-0075,2024-05-30,Meridian Consultants,29AALCM8901V1Z0,Services,Karnataka,Welding consumables,28.0,7006.4,273249.59,18.0,49184.93,INR,Paid,2024-07-13,Meridian Consultants,MERIDIAN CONSULTANTS,29AALCM8901V1Z0,False,False,False,True,322434.52,322434.52,False,False,False,False,False,49184.9262,0.0037999999985913746,False,2,True
126,INV-2024-0021,2024-11-27,SUNDARAM ENGINEERING LTD,33AADCS9012M1Z8,Fabrication,Tamil Nadu,Site safety harness x20,11.0,1576.77,36265.79,5.0,1813.0,INR,Paid,2024-12-22,SUNDARAM ENGINEERING LTD,SUNDARAM ENGINEERING,33AADCS9012M1Z8,False,False,False,True,38078.79,38078.79,False,False,False,False,False,1813.2895,0.28950000000008913,False,3,True
127,INV-2024-0031,2024-06-09,EASTERN LOGISTICS,19AAECE3456N1Z1,Transport,West Bengal,Freight - Durgapur to Asansol,1.0,11143.03,267432.72,18.0,48138.0,INR,Paid,2024-07-19,EASTERN LOGISTICS,EASTERN LOGISTICS,19AAECE3456N1Z1,False,False,False,True,315570.72,315570.72,False,False,False,False,False,48137.88959999999,0.1104000000123051,False,3,True
128,INV-2024-0063,2025-02-17,Apex Safety Equipment,07AAKCA4567U1Z7,Safety,Delhi,Structural design review,1.0,24876.7,696547.57,18.0,125378.56,INR,Paid,2025-03-24,Apex Safety Equipment,APEX SAFETY EQUIPMENT,07AAKCA4567U1Z7,False,False,False,True,821926.1299999999,821926.1299999999,False,False,False,False,False,125378.5626,0.0026000000070780516,False,3,True
